Humble Book Bundle: The Get-Your-Sh*t-Together Growth Bundle by HarperCollins Dec 9, 2025 $18.00
Humble Tech Book Bundle: Software Strategy and Risk Management by Pragmatic Programmers Dec 9, 2025 $18.00
Humble Tech Book Bundle: Software Architecture by Pearson Dec 9, 2025 $25.00
Humble Tech Book Bundle: Software Strategy and Risk Management by Pragmatic Programmers Nov 26, 2025 $18.00
Humble Comic Bundle: Roll for Initiative with Kieron Gillen by Image Comics Nov 10, 2025 $18.00
Humble Comic Bundle: Critical Role Comics Collection by Dark Horse Nov 10, 2025 $18.00
Humble Book Bundle: Modern Sci-Fi Classics: Charles Soule, Joseph Fink, Hugh Howey, and Neal Stephenson by HarperCollins Nov 10, 2025 $18.00
Humble Book Bundle: Glen Cook's Chronicles of The Black Company & More Oct 6, 2025 $18.00
Humble Comics Bundle: Teenage Mutant Ninja Turtles: Heroes in a Half-Shell Sep 28, 2025 $30.00
The Ultimate Guide to Tabletop RPGs, Worldbuilding, and Folklore by Adams Media Aug 28, 2025 $18.00
Humble VTT Bundle: Call of Cthulhu Keeper's Collection for Alchemy VTT Aug 15, 2025 $18.00
Humble RPG Bundle: Award-Winning & Nominated Tabletop RPGs presented by the ENNIE Awards Aug 15, 2025 $25.00
Humble Tech Book Bundle: Security by Apress Aug 15, 2025 $25.00
Humble Book Bundle: Robert Jordan's The Wheel of Time Apr 13, 2025 $18.00
Humble Book Bundle: The World of Dragonlance by Wizards of the Coast Mar 20, 2025 $18.00
Humble Tech Book Bundle: Linux from Beginner to Professional by O'Reilly Feb 27, 2025 $18.00
Humble Tech Book Bundle: Ultimate Cybersecurity Career by Packt Feb 27, 2025 $18.00
Humble Tech Book Bundle: Ultimate Cybersecurity Career by Packt Feb 20, 2025 $18.00
Humble Tech Book Bundle: Hacking 2024 by No Starch Dec 18, 2024 $36.00
Humble RPG Bundle: Warhammer Fantasy Roleplay Nov 12, 2024 $25.00
Humble Comics Bundle: Teenage Mutant Ninja Turtles Ultimate Collection Nov 12, 2024 $30.00
Humble Tech Book Bundle: Software Architecture 2024 by O'Reilly Sep 25, 2024 $25.00
Humble Tech Book Bundle: Software Architecture 2024 by O'Reilly Sep 7, 2024 $25.00
Humble Tech Book Bundle: Software Architecture 2024 by O'Reilly Sep 5, 2024 $25.00
Board Game Night with Dire Wolf & Friends Aug 20, 2024 $18.00
Humble Book Bundle: Shannara by Terry Brooks from Del Rey Aug 19, 2024 $18.00
Humble Book Bundle: Shannara by Terry Brooks from Del Rey Aug 17, 2024 $18.00
Humble Tech Book Bundle: Get Certified! by Packt Jul 25, 2024 $18.00
Humble Book Bundle: The Complete Ender's Game Collection by Orson Scott Card Jul 25, 2024 $18.00
Humble Tech Book Bundle: Sybex CompTIA and More by Wiley Jul 25, 2024 $25.00
Humble Tech Book Bundle: Linux for Seasoned Admins by O'Reilly Jun 18, 2024 $25.00
Humble Tech Book Bundle: CI/CD Mastery for Cloud Infrastructure by Packt Jun 15, 2024 $18.00
Humble RPG Bundle: Delta Green RPG Collection by Arc Dream Jun 15, 2024 $18.00
Humble Tech Book Bundle: Cybersecurity by Pearson May 21, 2024 $25.00
Humble Tech Book Bundle: Dive into DevOps by No Starch May 21, 2024 $30.00
Humble Book Bundle: The Dune Universe Collection by Tor Apr 20, 2024 $18.00
Humble RPG Bundle: Dune Adventures Tabletop RPG by Modiphius Mar 4, 2024 $18.00
Humble RPG Bundle: Paranoia 25th Anniversary RPG Mega Bundle by Mongoose Publishing Mar 4, 2024 $18.00
Humble Book Bundle: The Cory Doctorow Novel Collection by Tor Books Mar 4, 2024 $18.00
Humble Tech Book Bundle: Cybersecurity 2024 from Packt Feb 6, 2024 $18.00
Humble RPG Bundle: Cyberpunk RED 2024 by R. Talsorian Games Feb 5, 2024 $18.00
Humble Book Bundle: Terry Pratchett's Discworld by HarperCollins Jan 17, 2024 $18.00
Humble RPG Bundle: Call of Cthulhu by Chaosium, Inc. Jan 12, 2024 $25.00
Humble Tech Book Bundle: Hacking 2023 by No Starch Dec 13, 2023 $36.00
Black Friday Python Generative AI Bundle Nov 19, 2023 $25.52
Humble RPG Bundle: Vampire: The Masquerade Month of Darkness by Renegade Game Studios Oct 13, 2023 $18.00
Humble RPG Bundle: Vampire: The Masquerade Month of Darkness by Renegade Game Studios Oct 13, 2023 $18.00
Humble Tech Book Bundle: Software Architecture by O'Reilly Sep 18, 2023 $25.00
Humble Tech Book Bundle: Cloud Ops and Development by BPB Jul 30, 2023 $18.00
Humble Tech Book Bundle: Sybex Certification Prep by Wiley Jul 5, 2023 $25.00
Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press Jun 25, 2023 $18.00
Humble Tech Book Bundle: Sybex Certification Prep by Wiley Jun 25, 2023 $25.00
Stand with Ukraine Bundle Mar 19, 2022 $40.00
Humble Book Bundle All-in-One Python by Packt Mar 12, 2022 $18.00
Humble Book Bundle: The Art of Happiness featuring Thich Nhat Hanh by Parallax Press Feb 16, 2022 $18.00
Humble Book Bundle: Cybersecurity by Wiley Jan 24, 2022 $18.00
Humble Book Bundle: Become a Project Management Expert by Taylor & Francis Jan 16, 2022 $18.00
Humble Book Bundle: Become a Project Management Expert by Taylor & Francis Jan 16, 2022 $18.00
Humble RPG Book Bundle: Cyberpunk by R. Talsorian Dec 10, 2021 $18.00
Humble Book Bundle: Hacking by No Starch Press Dec 3, 2021 $30.00
Humble Book Bundle: Live Like a Samurai by Shambhala Nov 7, 2021 $18.00
Humble Book Bundle: The Ultimate DevOps Bundle by Packt Oct 26, 2021 $18.00
Humble Book Bundle: Raspberry Pi Uncut Oct 26, 2021 $18.00
Valheim Jul 18, 2021 $19.99
Lust for Darkness Jul 18, 2021 $3.14
Humble Book Bundle: Return of the Cosplay Jun 19, 2021 $18.00
Humble Book Bundle: Front End Web Development by Packt Jan 10, 2021 $15.00
Humble Big Royalty-Free Music Bundle Dec 26, 2020 $25.00
Humble Book Bundle: Hacking 101 by No Starch Press Nov 30, 2020 $18.00
Humble RPG Book Bundle: Cyberpunk by R. Talsorian Nov 24, 2020 $15.00
Humble Book Bundle: DIY Maker School by Make Co. Sep 8, 2020 $15.00
Humble Book Bundle: Create Comics & Manga by Quarto Aug 5, 2020 $15.00
Humble Book Bundle: Game Design & Animation by Packt Aug 3, 2020 $15.00
Humble Book Bundle: Raspberry Pi by Raspberry Pi Press Jul 20, 2020 $15.00
Humble Software Bundle: MAPS Extravaganza Jun 26, 2020 $30.00
Humble Book Bundle: Learn You Some Python by No Starch Press May 21, 2020 $15.00
Humble Book Bundle: Fun with STEM by Adams Media May 14, 2020 $15.00
Humble Comics Bundle: The Walking Dead by Image Comics/Skybound Entertainment Apr 29, 2020 $18.00
Humble 3D Printable Dungeons & Dragon Lairs Terrain Bundle Apr 1, 2020 $15.00
Humble Learn to Code Bundle Mar 13, 2020 $25.00
Humble Book Bundle: Jumpstart Your Maker Space by Make: Community Mar 13, 2020 $15.00
Humble Book Bundle: Cybersecurity 2020 by Wiley Feb 17, 2020 $15.00
Humble Book Bundle: Project Management by Taylor & Francis Jan 27, 2020 $15.00
